State,Cohort_Midpoint,Start_Rate,Escalation_Rate,a_fit,b_fit,x0,Rate_Type
DC,2012.5,0.12573641952385134,0.01590459969558714,0.1208350398078627,0.01590459969558714,2010,EIA
DC,2017.5,0.13614368097201868,0.01590459969558714,0.1208350398078627,0.01590459969558714,2010,EIA
DC,2022.5,0.14741235625128335,0.01590459969558714,0.1208350398078627,0.01590459969558714,2010,EIA
DE,2012.5,0.1315015116150656,0.0068914164116657085,0.12925533714069581,0.0068914164116657085,2010,EIA
DE,2017.5,0.13611163965051104,0.0068914164116657085,0.12925533714069581,0.0068914164116657085,2010,EIA
DE,2022.5,0.14088338773307363,0.0068914164116657085,0.12925533714069581,0.0068914164116657085,2010,EIA
MD,2012.5,0.13244833400935638,0.012859714972767167,0.12825793454651757,0.012859714972767167,2010,EIA
MD,2017.5,0.14124432782682436,0.012859714972767167,0.12825793454651757,0.012859714972767167,2010,EIA
MD,2022.5,0.15062447023185754,0.012859714972767167,0.12825793454651757,0.012859714972767167,2010,EIA
NC,2012.5,0.10543413552106642,0.016141847144942285,0.10126408751262227,0.016141847144942285,2010,EIA
NC,2017.5,0.11429646990148024,0.016141847144942285,0.10126408751262227,0.016141847144942285,2010,EIA
NC,2022.5,0.12390373352404234,0.016141847144942285,0.10126408751262227,0.016141847144942285,2010,EIA
NJ,2012.5,0.15708204445536622,0.008279276819566242,0.15386414734020482,0.008279276819566242,2010,EIA
NJ,2017.5,0.16372114235625812,0.008279276819566242,0.15386414734020482,0.008279276819566242,2010,EIA
NJ,2022.5,0.17064084279890107,0.008279276819566242,0.15386414734020482,0.008279276819566242,2010,EIA
PA,2012.5,0.12801467493970772,0.022389362302230875,0.12104610421065821,0.022389362302230875,2010,EIA
PA,2017.5,0.14317844462372262,0.022389362302230875,0.12104610421065821,0.022389362302230875,2010,EIA
PA,2022.5,0.160138413932024,0.022389362302230875,0.12104610421065821,0.022389362302230875,2010,EIA
VA,2012.5,0.10727036723373076,0.021824137969105917,0.10157445731255767,0.021824137969105917,2010,EIA
VA,2017.5,0.11963831310459234,0.021824137969105917,0.10157445731255767,0.021824137969105917,2010,EIA
VA,2022.5,0.13343224537793602,0.021824137969105917,0.10157445731255767,0.021824137969105917,2010,EIA
WV,2012.5,0.09480448101165855,0.03544590559214805,0.08676487832748765,0.03544590559214805,2010,EIA
WV,2017.5,0.11318755303021864,0.03544590559214805,0.08676487832748765,0.03544590559214805,2010,EIA
WV,2022.5,0.1351351963985023,0.03544590559214805,0.08676487832748765,0.03544590559214805,2010,EIA
